job_name,company_name,city,area_code_name,industry,salary_min,salary_max,salary_avg,degree,head_count,company_size,company_property,major,skills,publish_date,update_date,job_id,recruit_type,source,keyword,degree_clean,degree_level,salary_level,combined_text,skill_keywords,job_direction,is_high_salary
生产准备,大唐海投（台州）发电有限责任公司,台州,浙江,,8000.0,10000.0,9000.0,本科及以上,5,100-499人,国有企业,能源与动力工程 电气工程及其自动化 自动化 应用化学,带薪年假，技能培训，定期体检，年终奖，专项奖金,2026-06-10,2026-06-11,VxVxeG8ZfuYYLaqRBQQyVt,0,国家大学生就业服务平台,技术,本科及以上,2,8K-12K,生产准备 能源与动力工程 电气工程及其自动化 自动化 应用化学 带薪年假，技能培训，定期体检，年终奖，专项奖金 技术,,制造/工程类,0
质量工程师,浙江银轮机械股份有限公司,台州,浙江,,4500.0,7000.0,5750.0,本科及以上,5,5000以上,股份制企业,机械工程 机械设计 车辆工程,五险一金，带薪年假，岗位晋升，技能培训，股权激励，股票期权，定期体检，年底双薪，专项奖金，午餐补助,2026-04-29,2026-06-04,B2giLSAFEf12G5oaTEUBRN,0,国家大学生就业服务平台,技术,本科及以上,2,5K-8K,质量工程师 机械工程 机械设计 车辆工程 五险一金，带薪年假，岗位晋升，技能培训，股权激励，股票期权，定期体检，年底双薪，专项奖金，午餐补助 技术,机械、设计,制造/工程类,0
工艺工程师,浙江银轮机械股份有限公司,台州,浙江,,4000.0,7000.0,5500.0,本科及以上,5,5000以上,股份制企业,机械电子 机械设计 车辆工程 焊接,五险一金，带薪年假，岗位晋升，技能培训，股权激励，股票期权，定期体检，年底双薪，专项奖金，午餐补助,2026-04-29,2026-06-04,4UJE9aZViKoTauSW9Gp3th,0,国家大学生就业服务平台,技术,本科及以上,2,5K-8K,工艺工程师 机械电子 机械设计 车辆工程 焊接 五险一金，带薪年假，岗位晋升，技能培训，股权激励，股票期权，定期体检，年底双薪，专项奖金，午餐补助 技术,机械、设计,制造/工程类,0
工艺员,浙江诚信医化设备有限公司,台州,浙江,,4000.0,8000.0,6000.0,本科及以上,3,500-999人,民营企业,过程装备与控制工程 机械设计及其自动化 化工工程与工艺,岗位晋升，技能培训，专项奖金，绩效奖金，节日礼物，提供住宿，班车接送,2026-04-28,2026-04-28,Xcywq68wQzDhy6weBFbCKz,0,国家大学生就业服务平台,技术,本科及以上,2,5K-8K,工艺员 过程装备与控制工程 机械设计及其自动化 化工工程与工艺 岗位晋升，技能培训，专项奖金，绩效奖金，节日礼物，提供住宿，班车接送 技术,机械、设计,制造/工程类,0
化学工艺工程师,浙江诚信医化设备有限公司,台州,浙江,,5000.0,9000.0,7000.0,本科及以上,2,500-999人,民营企业,化学工程与工艺 应用化学,岗位晋升，技能培训，专项奖金，绩效奖金，节日礼物，提供住宿，班车接送,2026-04-28,2026-04-28,KKxwBD1oTWatc8Pa7gxGPX,0,国家大学生就业服务平台,技术,本科及以上,2,5K-8K,化学工艺工程师 化学工程与工艺 应用化学 岗位晋升，技能培训，专项奖金，绩效奖金，节日礼物，提供住宿，班车接送 技术,,制造/工程类,0
压力容器设计师,浙江诚信医化设备有限公司,台州,浙江,,4000.0,12000.0,8000.0,本科及以上,5,500-999人,民营企业,过程装备与控制工程；能源与动力工程,岗位晋升，技能培训，专项奖金，绩效奖金，节日礼物，提供住宿，班车接送,2026-04-28,2026-04-28,H68NTzgBWx7CQcJFBJSeFk,0,国家大学生就业服务平台,技术,本科及以上,2,8K-12K,压力容器设计师 过程装备与控制工程；能源与动力工程 岗位晋升，技能培训，专项奖金，绩效奖金，节日礼物，提供住宿，班车接送 技术,设计,教育/培训类,0
PIE工程师（驻泰国or越南）,台州拜亚进出口有限公司,台州,浙江,,11000.0,12000.0,11500.0,本科及以上,5,500-999人,民营企业,机械大类专业均可,五险一金，带薪年假，岗位晋升，年终奖，年度旅游，午餐补助，住房补助，节日礼物，零食水果,2026-04-27,2026-04-28,CEqyn4Egk7yqVuTCZ7H1Ed,0,国家大学生就业服务平台,技术,本科及以上,2,8K-12K,PIE工程师（驻泰国or越南） 机械大类专业均可 五险一金，带薪年假，岗位晋升，年终奖，年度旅游，午餐补助，住房补助，节日礼物，零食水果 技术,机械,制造/工程类,0
技术制图管培生,台州拜亚进出口有限公司,台州,浙江,,5000.0,8000.0,6500.0,本科及以上,5,500-999人,民营企业,机械大类专业均可,五险一金，带薪年假，岗位晋升，年终奖，年度旅游，午餐补助，住房补助，节日礼物，零食水果,2026-04-27,2026-04-28,4p3caR3Ngkf2wMbw4wUJoT,0,国家大学生就业服务平台,技术,本科及以上,2,5K-8K,技术制图管培生 机械大类专业均可 五险一金，带薪年假，岗位晋升，年终奖，年度旅游，午餐补助，住房补助，节日礼物，零食水果 技术,机械,制造/工程类,0
肯德基楼面经理-台州,杭州肯德基有限公司宁波分公司,台州,浙江,,4000.0,6000.0,5000.0,专科及以上,10,100-499人,股份制企业,,五险一金，带薪年假，岗位晋升，技能培训，股权激励，定期体检，年终奖，绩效奖金，年度旅游，节日礼物,2026-04-27,2026-05-25,FhidvLPNo1tPX7ogjKRysd,0,国家大学生就业服务平台,技术,专科及以上,1,5K-8K,肯德基楼面经理-台州  五险一金，带薪年假，岗位晋升，技能培训，股权激励，定期体检，年终奖，绩效奖金，年度旅游，节日礼物 技术,,教育/培训类,0
施工员,台州佳树园林景观工程有限公司,台州,浙江,,3000.0,9000.0,6000.0,专科及以上,3,1-49人,民营企业,土木,弹性工作，年终分红，股权激励，节日礼物,2026-04-26,2026-04-27,SE2MMdmcYzSAbcFr8Ce9FE,0,国家大学生就业服务平台,技术,专科及以上,1,5K-8K,施工员 土木 弹性工作，年终分红，股权激励，节日礼物 技术,,其他类,0
业务顾问,台州佳树园林景观工程有限公司,台州,浙江,,3000.0,10000.0,6500.0,专科及以上,5,1-49人,民营企业,市场营销,弹性工作，年终分红，股权激励，节日礼物,2026-04-26,2026-04-27,Kne21YXk5uP3uKm4xpRyqm,0,国家大学生就业服务平台,技术,专科及以上,1,5K-8K,业务顾问 市场营销 弹性工作，年终分红，股权激励，节日礼物 技术,,销售/市场类,0
